#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
195,"Requena, Hgo.","Requena","Aguas del Valle de México","Hidalgo","2110.500","60.530","2108.960","52.424","2103.450","20.470",39
194,"Javier Rojo Gómez, Hgo.","La Peña","Aguas del Valle de México","Hidalgo","1975.700","52.800","1974.000","46.000","1964.020","21.540",47
193,"Ing. Guillermo Lugo Sanabria, Jal.","La Pólvora","Lerma-Santiago-Pacífico","Jalisco","1665.000","55.000","1663.460","51.675","1656.190","34.530",67
192,"Peñuelitas, Gto.","Peñuelitas","Lerma-Santiago-Pacífico","Guanajuato","1907.290","30.169","1904.700","17.460","1901.940","7.327",42
191,"Ñadó, Méx.","Ñado","Aguas del Valle de México","México","2475.500","18.500","2474.000","16.800","2464.140","7.055",42
190,"Ing. Rodolfo Félix Valdés, Son.","El Molinito","Noroeste","Sonora","293.400","233.920","289.360","130.040","278.700","13.962",11
189,"El Molino, Méx.","Molinitos","Aguas del Valle de México","México","2385.090","8.700","2384.390","7.690","2379.980","1.788",23
188,"Miguel Hidalgo, Sin.","El Mahone","Pacífico Norte","Sinaloa","148.000","4171.273","142.360","3312.889","124.940","1303.440",39
187,"Madín, Méx.","Madín","Aguas del Valle de México","México","2346.040","17.964","2336.294","9.370","2336.420","9.460",101
186,"Ing. Alfredo Elías Ayub, Jal.","La Yesca","Lerma-Santiago-Pacífico","Nayarit","578.000","2392.890","575.000","2292.920","555.670","1724.260",75
185,"Pedro José Méndez, Tamps.","Pedro José Méndez","Golfo Norte","Tamaulipas","449.400","38.360","447.220","31.260","443.090","20.207",65
184,"Ignacio Ramírez, Méx.","La Gavia","Lerma-Santiago-Pacífico","México","2550.480","36.300","2548.480","20.500","2547.960","17.010",83
183,"Francisco José Trinidad Fabela, Méx.","Isla de las Aves o El Salto","Lerma-Santiago-Pacífico","México","2697.800","10.000","2696.700","9.930","2692.420","3.140",32
182,"Infiernillo, Mich.","Infiernillo","Balsas","Guerrero","183.200","12562.440","169.000","7297.790","153.500","4850.630",67
181,"San Ildefonso, Qro.","El Tepozán","Golfo Norte","Querétaro","2242.500","58.026","2239.000","47.812","2222.570","17.589",37
180,"Ignacio Allende, Gto.","La Begoña","Lerma-Santiago-Pacífico","Guanajuato","1832.650","221.693","1828.750","125.118","1825.660","71.276",57
179,"Hurtado, Jal.","Valencia","Lerma-Santiago-Pacífico","Jalisco","1462.660","22.625","1462.660","22.625","1460.720","12.383",55
178,"Huapango, Méx.","Huapango","Aguas del Valle de México","México","2512.800","126.500","2512.650","121.500","2510.720","48.357",40
177,"Presidente Guadalupe Victoria, Dgo.","El Tunal","Pacífico Norte","Durango","1934.610","94.617","1931.000","78.060","1928.590","67.909",87
176,"Guaracha, Mich.","San Antonio","Lerma-Santiago-Pacífico","Michoacán","1580.110","29.790","1580.010","28.677","1578.040","9.478",33
175,"La Golondrina, Gto.","La Golondrina","Lerma-Santiago-Pacífico","Guanajuato","1837.120","5.970","1835.200","4.670","1828.700","1.618",35
174,"Gustavo Díaz Ordaz, Sin.","Bacurato","Pacífico Norte","Sinaloa","252.500","2687.074","237.060","1618.800","217.650","698.047",43
173,"Sierra de Guadalupe, Méx.","Guadalupe","Aguas del Valle de México","México","2306.820","63.900","2305.200","56.700","2301.200","41.281",73
172,"Ing. Guillermo Blake Aguilar, Sin.","El Sabinal o El Cajón","Pacífico Norte","Sinaloa","196.610","468.624","188.450","294.020","174.680","109.001",37
171,"Francisco Zarco, Dgo.","Las Tortolas","Cuencas Centrales del Norte","Durango","1210.050","383.160","1208.200","309.240","1204.830","199.759",65
170,"Francisco Villa, Dgo.","El Bosque","Pacífico Norte","Durango","1996.130","96.570","1993.000","73.260","1991.020","60.561",83
169,"Internacional Falcón, Tamps.","Falcón","Río Bravo","Tamaulipas","95.770","4862.210","91.805","3264.813","82.116","930.634",28
168,"El Potosino, S.L.P.","El Potosino","Cuencas Centrales del Norte","San Luis Potosí","2000.850","5.199","1996.800","3.293","1987.150","0.650",20
167,"El Rejón, Chih.","El Rejón","Río Bravo","Chihuahua","1478.320","7.755","1477.000","6.528","1472.920","3.547",54
166,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Ánimas","Golfo Norte","Tamaulipas","52.550","654.370","51.700","563.443","49.020","327.692",58
